epoch,loss,mAP
0,32.971867,0.000000
1,31.535404,0.000000
2,30.864472,0.000000
3,30.024723,0.000000
4,29.084606,0.000000
5,28.020643,0.000000
6,27.239197,0.000000
7,26.510805,0.000000
8,25.998004,0.000000
9,25.530998,0.055904
10,25.029673,0.000000
11,24.737833,0.000000
12,24.334525,0.000000
13,23.914147,0.000000
14,23.512173,0.000000
15,23.145035,0.000000
16,22.899751,0.000000
17,22.536363,0.000000
18,22.216267,0.000000
19,21.949528,0.100081
20,21.674188,0.000000
21,21.383771,0.000000
22,21.267562,0.000000
23,20.978044,0.000000
24,20.764754,0.000000
25,20.540009,0.000000
26,20.314093,0.000000
27,20.221270,0.000000
28,20.036035,0.000000
29,19.917267,0.144794
30,19.746842,0.000000
31,19.625079,0.000000
32,19.444097,0.000000
33,19.324184,0.000000
34,19.213264,0.000000
35,19.091733,0.000000
36,18.953102,0.000000
37,18.835212,0.000000
38,18.633504,0.000000
39,18.606546,0.188646
40,18.413363,0.000000
41,18.321422,0.000000
42,18.226175,0.000000
43,18.059670,0.000000
44,18.083869,0.000000
45,17.961426,0.000000
46,17.764823,0.000000
47,17.731453,0.000000
48,17.609458,0.000000
49,17.566325,0.216745
50,17.356045,0.000000
51,17.283202,0.000000
52,17.302653,0.000000
53,17.125835,0.000000
54,17.133448,0.000000
55,16.967052,0.000000
56,16.962666,0.000000
57,16.817256,0.000000
58,16.809343,0.000000
59,16.654900,0.275371
60,16.585706,0.000000
61,16.487733,0.000000
62,16.463113,0.000000
63,16.279339,0.000000
64,16.278482,0.000000
65,16.183990,0.000000
66,16.248688,0.000000
67,16.055722,0.000000
68,15.890173,0.000000
69,15.829571,0.267505
70,15.746191,0.000000
71,15.719060,0.000000
72,15.639323,0.000000
73,15.504746,0.000000
74,15.480558,0.000000
75,15.377450,0.000000
76,15.324281,0.000000
77,15.213993,0.000000
78,15.174486,0.000000
79,15.067388,0.324088
80,14.939801,0.000000
81,14.846533,0.000000
82,14.845136,0.000000
83,14.813407,0.000000
84,14.699260,0.000000
85,14.560899,0.000000
86,14.532739,0.000000
87,14.443124,0.000000
88,14.379946,0.000000
89,14.286775,0.363012
90,14.289940,0.000000
91,14.213431,0.000000
92,14.059177,0.000000
93,14.007257,0.000000
94,13.967823,0.000000
95,13.927728,0.000000
96,13.895347,0.000000
97,13.760114,0.000000
98,13.750135,0.000000
99,13.643325,0.343816
100,13.524062,0.000000
101,13.488972,0.000000
102,13.487438,0.000000
103,13.405878,0.000000
104,13.309750,0.000000
105,13.297492,0.000000
106,13.239207,0.000000
107,13.167478,0.000000
108,13.118584,0.000000
109,13.052577,0.365593
110,13.020852,0.000000
111,12.971006,0.000000
112,12.935107,0.000000
113,12.858858,0.000000
114,12.812332,0.000000
115,12.763677,0.000000
116,12.768153,0.000000
117,12.711261,0.000000
118,12.680365,0.000000
119,12.695815,0.391014
epoch,loss,mAP
